corps = corp.get_corps('2004-12-31', ['회사명', '종목코드'])
    params = {
        'seq_length': 5,  # 시퀀스 갯수
        'data_dim': 5,  # 입력 데이터 갯수
        'hidden_dims': [128, 96, 64],  # 히든 레이어 갯수
        'dropout_keep': 0.8,  # dropout
        'output_dim': 1,  # 출력 데이터 갯수
        'learning_rate': 0.0001,
        'iterations': [24, 10000],  # 최소, 최대 훈련 반복횟수
        'rmse_max': 0.05,
        'train_percent': 80.0,  # 훈련 데이터 퍼센트
        'loss_up_count': 12,  # early stopping
        'invest_count': 20,  # 투자 횟수
        'invest_money': 10000000,  # 각 주식에 모의투자할 금액
        'fee_percent': 0.015,  # 투자시 발생하는 수수료
        'tax_percent': 0.5,  # 매도시 발생하는 세금
        'invest_min_percent': 0.6,  # 투자를 하는 최소 간격 퍼센트
        'kor_font_path': 'C:\\WINDOWS\\Fonts\\H2GTRM.TTF'
    }


83 9300 삼아제약 0.033033222 11225173.2875 11225173.2875 4
84 11560 세보엠이씨 0.023164902 9134321.344999999 9327819.669999998 12
85 33790 스카이문스테크놀로지 0.024288617 9610529.98725 9712934.872 143
86 49830 승일 0.03099029 10885165.809999999 10885165.809999999 168
87 10280 쌍용정보통신 0.0018455287 8522830.726099998 10459796.863499999 18
88 31310 아이즈비전 0.0032205542 15630984.204999998 15630984.204999998 3
89 67160 아프리카TV 0.03220453 9569855.462499997 8995649.854999997 28
90 39440 에스티아이 0.012972613 8704267.3 9394693.200000001 0
91 21080 에이티넘인베스트 0.027824951 11102947.9685 11102947.9685 6
92 36810 에프에스티 0.002401616 9209810.09 10086850.266999999 9
93 54940 엑사이엔씨 0.008750936 10709647.3615 10709647.3615 10
94 45060 오공 0.018369334 9802984.252999999 13129580.843999999 20
95 49480 오픈베이스 0.020864172 10346332.0635 10346332.0635 15
96 19210 와이지-원 0.023802843 10000000 9487400.5 22
97 74600 원익QnC 0.04742216 11034477.69 11034477.69 6
98 14190 원익큐브 0.002979778 13799691.059 13799691.059 20
99 8290 원풍물산 0.018811226 11231669.61925 11231669.61925 12
100 65950 웰크론 0.017926762 13598372.205999998 13598372.205999998 490
101 26260 위너지스 0.036623027 10000000 9947004.027999999 0
