date,close,diff,open,high,low,volume
2001.10.18,30100.0,0.0,30100.0,30100.0,30100.0,169190.0
2001.10.19,33700.0,3600.0,30000.0,33700.0,28650.0,198481.0
2001.10.22,37700.0,4000.0,37700.0,37700.0,37700.0,6187.0
2001.10.23,42200.0,4500.0,42200.0,42200.0,42200.0,22078.0
2001.10.24,39100.0,3100.0,42900.0,45500.0,38150.0,547032.0
2001.10.25,40000.0,900.0,41500.0,41500.0,38300.0,192583.0
2001.10.26,44800.0,4800.0,41000.0,44800.0,40200.0,439384.0
2001.10.29,45000.0,200.0,46800.0,49200.0,44800.0,348337.0
2001.10.30,42200.0,2800.0,44400.0,44600.0,40650.0,150686.0
2001.10.31,42300.0,100.0,41500.0,44100.0,41300.0,121776.0
2001.11.01,41000.0,1300.0,42100.0,42900.0,41000.0,88697.0
2001.11.02,39300.0,1700.0,41500.0,42000.0,37000.0,87306.0
2001.11.05,38500.0,800.0,38400.0,39700.0,37650.0,61696.0
2001.11.06,41100.0,2600.0,39100.0,42700.0,38500.0,151720.0
2001.11.07,38800.0,2300.0,41100.0,41800.0,38650.0,56815.0
2001.11.08,40750.0,1950.0,38200.0,41800.0,38200.0,109698.0
2001.11.09,42000.0,1250.0,41300.0,44300.0,41200.0,207837.0
2001.11.12,47000.0,5000.0,43000.0,47000.0,43000.0,262444.0
2001.11.13,47950.0,950.0,48600.0,52500.0,47050.0,362356.0
2001.11.14,47800.0,150.0,48600.0,49600.0,47150.0,115917.0
2001.11.15,50000.0,2200.0,49200.0,53500.0,48200.0,260813.0
2001.11.16,48400.0,1600.0,50200.0,50800.0,47350.0,104649.0
2001.11.19,47750.0,650.0,48400.0,48500.0,45700.0,83444.0
2001.11.20,46250.0,1500.0,47100.0,47800.0,46000.0,110031.0
2001.11.21,45700.0,550.0,45100.0,45700.0,43800.0,99957.0
2001.11.22,48200.0,2500.0,44900.0,49600.0,44900.0,130352.0
2001.11.23,48700.0,500.0,48200.0,51700.0,47250.0,138116.0
2001.11.26,48500.0,200.0,49100.0,50600.0,48500.0,76092.0
2001.11.27,50600.0,2100.0,50000.0,51900.0,48900.0,136006.0
2001.11.28,46400.0,4200.0,51000.0,51300.0,45000.0,65996.0
2001.11.29,48100.0,1700.0,46400.0,48200.0,45300.0,44596.0
2001.11.30,48100.0,0.0,48200.0,48900.0,47000.0,71458.0
2001.12.03,48200.0,100.0,48000.0,49800.0,47700.0,59413.0
2001.12.04,46500.0,1700.0,48100.0,48100.0,46500.0,49565.0
2001.12.05,45300.0,1200.0,47100.0,47100.0,44000.0,66533.0
2001.12.06,43600.0,1700.0,46300.0,46300.0,43500.0,61145.0
2001.12.07,44450.0,850.0,43400.0,45400.0,43400.0,63615.0
2001.12.10,43100.0,1350.0,43650.0,45000.0,43100.0,36708.0
2001.12.11,42200.0,900.0,42500.0,43300.0,41600.0,71542.0
2001.12.12,43000.0,800.0,42900.0,44000.0,42600.0,100171.0
2001.12.13,42000.0,1000.0,43850.0,43850.0,40800.0,70835.0
2001.12.14,41000.0,1000.0,41800.0,41950.0,40850.0,45733.0
2001.12.17,38650.0,2350.0,41100.0,41500.0,38550.0,42588.0
2001.12.18,36800.0,1850.0,38550.0,39900.0,36800.0,116228.0
2001.12.19,41200.0,4400.0,38800.0,41200.0,38550.0,292810.0
2001.12.20,39000.0,2200.0,41350.0,41350.0,38500.0,119672.0
2001.12.21,36600.0,2400.0,37900.0,38300.0,36500.0,51265.0
2001.12.24,34400.0,2200.0,35100.0,36500.0,33700.0,72366.0
2001.12.26,33150.0,1250.0,34000.0,35500.0,33150.0,52121.0
2001.12.27,33550.0,400.0,32600.0,34450.0,32600.0,63533.0
2001.12.28,36300.0,2750.0,33600.0,36700.0,33600.0,123687.0
2002.01.02,40000.0,3700.0,38000.0,40650.0,37300.0,109488.0
2002.01.03,41650.0,1650.0,40600.0,41950.0,40000.0,119550.0
2002.01.04,41050.0,600.0,40900.0,41900.0,40500.0,58693.0
2002.01.07,40350.0,700.0,41000.0,42000.0,40300.0,55659.0
2002.01.08,40300.0,50.0,39600.0,41500.0,39100.0,69799.0
2002.01.09,39000.0,1300.0,40600.0,40800.0,38300.0,56240.0
2002.01.10,37200.0,1800.0,39100.0,39400.0,37000.0,82610.0
2002.01.11,38200.0,1000.0,37500.0,39200.0,37200.0,81742.0
2002.01.14,37350.0,850.0,37000.0,37900.0,36250.0,58639.0
2002.01.15,35400.0,1950.0,36500.0,36900.0,35300.0,46251.0
2002.01.16,35300.0,100.0,35050.0,36200.0,35000.0,31178.0
2002.01.17,34500.0,800.0,35000.0,35050.0,34100.0,32037.0
