date,close,diff,open,high,low,volume
2014.11.14,4000.0,0.0,4000.0,4000.0,4000.0,300.0
2014.11.17,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.11.18,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.11.19,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.11.20,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.11.21,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.11.24,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.11.25,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.11.26,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.11.27,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.11.28,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.01,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.02,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.03,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.04,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.05,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.08,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.09,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.10,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.11,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.12,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.15,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.16,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.17,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.18,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.19,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.22,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.23,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.24,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.26,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.29,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2014.12.30,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2015.01.02,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2015.01.05,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2015.01.06,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2015.01.07,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2015.01.08,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2015.01.09,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2015.01.12,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2015.01.13,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2015.01.14,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2015.01.15,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2015.01.16,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2015.01.19,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2015.01.20,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2015.01.21,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2015.01.22,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2015.01.23,4000.0,0.0,4000.0,4000.0,4000.0,0.0
2015.01.26,4100.0,100.0,4100.0,4100.0,4100.0,3.0
2015.01.27,4005.0,95.0,4005.0,4005.0,4005.0,0.0
2015.01.28,4005.0,0.0,4005.0,4005.0,4005.0,0.0
2015.01.29,3905.0,100.0,3905.0,3905.0,3905.0,0.0
2015.01.30,3805.0,100.0,3805.0,3805.0,3805.0,0.0
2015.02.02,3805.0,0.0,3805.0,3805.0,3805.0,0.0
2015.02.03,3805.0,0.0,3805.0,3805.0,3805.0,0.0
2015.02.04,3705.0,100.0,3705.0,3705.0,3705.0,0.0
2015.02.05,3605.0,100.0,3605.0,3605.0,3605.0,0.0
2015.02.06,3605.0,0.0,3605.0,3605.0,3605.0,0.0
2015.02.09,3505.0,100.0,3505.0,3505.0,3505.0,0.0
2015.02.10,3405.0,100.0,3405.0,3405.0,3405.0,0.0
2015.02.11,3405.0,0.0,3405.0,3405.0,3405.0,0.0
2015.02.12,3405.0,0.0,3405.0,3405.0,3405.0,0.0
2015.02.13,3405.0,0.0,3405.0,3405.0,3405.0,0.0
2015.02.16,3405.0,0.0,3405.0,3405.0,3405.0,0.0
2015.02.17,3405.0,0.0,3405.0,3405.0,3405.0,0.0
2015.02.23,3405.0,0.0,3405.0,3405.0,3405.0,0.0
2015.02.24,3405.0,0.0,3405.0,3405.0,3405.0,0.0
2015.02.25,3405.0,0.0,3405.0,3405.0,3405.0,0.0
2015.02.26,3405.0,0.0,3405.0,3405.0,3405.0,0.0
2015.02.27,3405.0,0.0,3405.0,3405.0,3405.0,0.0
2015.03.02,3405.0,0.0,3405.0,3405.0,3405.0,0.0
2015.03.03,3405.0,0.0,3405.0,3405.0,3405.0,0.0
2015.03.04,3405.0,0.0,3405.0,3405.0,3405.0,0.0
2015.03.05,3405.0,0.0,3405.0,3405.0,3405.0,0.0
2015.03.06,3405.0,0.0,3405.0,3405.0,3405.0,0.0
2015.03.09,3405.0,0.0,3405.0,3405.0,3405.0,0.0
2015.03.10,2900.0,505.0,2900.0,2900.0,2900.0,1.0
2015.03.11,2900.0,0.0,2900.0,2900.0,2900.0,0.0
2015.03.12,2900.0,0.0,2900.0,2900.0,2900.0,0.0
2015.03.13,2900.0,0.0,2900.0,2900.0,2900.0,0.0
2015.03.16,2470.0,430.0,2470.0,2470.0,2470.0,1.0
2015.03.17,2405.0,65.0,2405.0,2405.0,2405.0,0.0
2015.03.18,2405.0,0.0,2405.0,2405.0,2405.0,0.0
2015.03.19,2405.0,0.0,2405.0,2405.0,2405.0,0.0
2015.03.20,2405.0,0.0,2405.0,2405.0,2405.0,0.0
2015.03.23,2405.0,0.0,2405.0,2405.0,2405.0,0.0
2015.03.24,2050.0,355.0,2050.0,2050.0,2050.0,2.0
2015.03.25,2100.0,50.0,2100.0,2100.0,2100.0,297.0
2015.03.26,1800.0,300.0,1800.0,1800.0,1800.0,1.0
2015.03.27,1800.0,0.0,1800.0,1800.0,1800.0,0.0
2015.03.30,1800.0,0.0,1800.0,1800.0,1800.0,0.0
2015.03.31,1800.0,0.0,1800.0,1800.0,1800.0,0.0
2015.04.01,1800.0,0.0,1800.0,1800.0,1800.0,0.0
2015.04.02,1900.0,100.0,1900.0,1900.0,1900.0,1.0
2015.04.03,1900.0,0.0,1900.0,1900.0,1900.0,0.0
2015.04.06,1900.0,0.0,1900.0,1900.0,1900.0,0.0
2015.04.07,1900.0,0.0,1900.0,1900.0,1900.0,0.0
2015.04.08,1900.0,0.0,1900.0,1900.0,1900.0,0.0
2015.04.09,1900.0,0.0,1900.0,1900.0,1900.0,0.0
2015.04.10,1900.0,0.0,1900.0,1900.0,1900.0,0.0
2015.04.13,1900.0,0.0,1900.0,1900.0,1900.0,0.0
2015.04.14,1900.0,0.0,1900.0,1900.0,1900.0,0.0
2015.04.15,1900.0,0.0,1900.0,1900.0,1900.0,0.0
2015.04.16,1900.0,0.0,1900.0,1900.0,1900.0,0.0
2015.04.17,1900.0,0.0,1900.0,1900.0,1900.0,0.0
2015.04.20,1900.0,0.0,1900.0,1900.0,1900.0,0.0
2015.04.21,1900.0,0.0,1900.0,1900.0,1900.0,0.0
